iter	RMSE
137	2464279.975
138	2463802.744
139	2463102.844
140	2462136.717
141	2461365.174
142	2459730.302
143	2457885.741
144	2456819.754
145	2456513.986
146	2455090.803
147	2454547.248
148	2454183.338
149	2453581.655
150	2452724.519
151	2451639.015
152	2451277.026
153	2450619.661
154	2449941.943
155	2448398.161
156	2447718.794
157	2447442.111
158	2446894.904
159	2446424.417
160	2446062.645
161	2445447.059
162	2444036.435
163	2443058.4
164	2441988.919
165	2441524.883
166	2440980.613
167	2440590.181
168	2439946.5
169	2439198.866
170	2438755.289
171	2437775.699
172	2436977.756
173	2436463.353
174	2435967.138
175	2435611.065
176	2434875.289
177	2434299.384
178	2433938.348
179	2433203.414
180	2432697.657
181	2432262.792
182	2431437.091
183	2431074.405
184	2430521.495
185	2430133.5
186	2429722.345
187	2429076.267
188	2428624.339
189	2428087.811
190	2427716.438
191	2427141.156
192	2426639.571
193	2426201.204
194	2425812.327
195	2425436.108
196	2424991.424
197	2423926.841
198	2423320.716
199	2422875.314
200	2422527.283
201	2422075.991
202	2421486.692
203	2420764.229
204	2420490.431
205	2420089.506
206	2419793.567
207	2419304.906
208	2419038.725
209	2418552.335
210	2417975.785
211	2417529.077
212	2416666.978
213	2416272.437
214	2415920.752
215	2415606.398
216	2415059.42
217	2414510.317
218	2414068.941
219	2413013.449
220	2412404.974
221	2412153.434
222	2411880.444
223	2411526.177
224	2411267.893
225	2410690.93
226	2410265.043
227	2409948.123
228	2409614.949
229	2409087.428
230	2408489.236
231	2407999.443
232	2407690.482
233	2407242.775
234	2407050.649
235	2406489.3
236	2405792.456
237	2405359.592
238	2405110.689
239	2404700.689
240	2404452.656
241	2404225.456
242	2403993.063
243	2403338.196
244	2402925.523
245	2402550.392
246	2402306.206
247	2401524.506
248	2401076.876
249	2400731.839
250	2400411.836
251	2400005.293
252	2399729.946
253	2399132.702
254	2398596.195
255	2398094.311
256	2397639.543
257	2397496.954
258	2397174.299
259	2396978.366
260	2396537.68
261	2396302.23
262	2396002.298
263	2395551.3
264	2395260.429
265	2394657.931
266	2394281.034
267	2393762.967
268	2393480.881
269	2393134.394
270	2392860.981
271	2392294.37
272	2391721.651
273	2391356.795
274	2390844.626
275	2390287.101
276	2389931.796
277	2389409.715
278	2389035.459
279	2388595.866
280	2388252.639
281	2387898.226
282	2387247.967
283	2386385.648
284	2385967.618
285	2385654.244
286	2385447.903
287	2385180.89
288	2384687.769
289	2384239.662
290	2384000.66
291	2383776.937
292	2383592.895
293	2383025.484
294	2382766.855
295	2382474.636
296	2382192.814
297	2381926.169
298	2381527.908
299	2380637.964
300	2380141.926
301	2379983.918
302	2379740.905
303	2379432.827
304	2379041.915
305	2378566.787
306	2378224.002
307	2377811.874
308	2377333.291
309	2377102.037
310	2376733.574
311	2376555.928
312	2376376.383
313	2375751.597
314	2375351.96
315	2375057.464
316	2374622.305
317	2374371.764
318	2374219.223
319	2373992.177
320	2373697.655
321	2373274.748
322	2373111.077
323	2372825.067
324	2372457.473
325	2372096.834
326	2371905.618
327	2371617.8
328	2371387.637
329	2371180.606
330	2370918.181
331	2370596.677
332	2370363.619
333	2370124.292
334	2369861.015
335	2369475.596
336	2369085.969
337	2368874.296
338	2368562.45
339	2368215.141
340	2367806.669
341	2367535.032
342	2367295.544
343	2366968.447
344	2366511.133
345	2366052.72
346	2365764.001
347	2365387.87
348	2365064.586
349	2364525.961
350	2364293.501
351	2363922.593
352	2363577.535
353	2363230.758
354	2362958.809
355	2362645.19
356	2362296.269
357	2362057.693
358	2361928.649
359	2361655.937
360	2361377.799
361	2360905.478
362	2360652.302
363	2360248.074
364	2359805.186
365	2359608.166
366	2359316.567
367	2359099.84
368	2358753.276
369	2358483.617
370	2358294.099
371	2357848.521
372	2357391.418
373	2357172.153
374	2357052.798
375	2356749.846
376	2356500.961
377	2356209.719
378	2355845.4
379	2355216.478
380	2354841.667
381	2354666.153
382	2354465.914
383	2354262.862
384	2354013.564
385	2353517.844
386	2353181.027
387	2352660.411
388	2352458.135
389	2352126.056
390	2351809.521
391	2351514.714
392	2351250.985
393	2351124.955
394	2350910.24
395	2350631.883
396	2350500.343
397	2350168.326
398	2349827.121
399	2349610.109
400	2349486.24
401	2349225.666
402	2348813.679
403	2348427.503
404	2348287.151
405	2348086.786
406	2347466.956
407	2347084.409
408	2346963.596
409	2346778.422
410	2346469.789
411	2346161.61
412	2345893.641
413	2345714.867
414	2345420.018
415	2345041.901
416	2344834.305
417	2344505.447
418	2344115.785
419	2343907.727
420	2343661.983
421	2343419.038
422	2343235.914
423	2342803.058
424	2342546.135
425	2342353.33
426	2342128.921
427	2341967.868
428	2341762.977
429	2341474.515
430	2341109.381
431	2340948.943
432	2340539.639
433	2340228.819
434	2339963.377
435	2339428.406
436	2339203.733
437	2338930.077
438	2338698.472
439	2338439.692
440	2338154.54
441	2337977.588
442	2337564.806
443	2337188.192
444	2336896.639
445	2336803.824
446	2336629.469
447	2336438.946
448	2336151.938
449	2335809.008
450	2335661.74
451	2335536.534
452	2335093.011
453	2334792.216
454	2334478.04
455	2334252.801
456	2333934.456
457	2333591.173
458	2333325.425
459	2333032.986
460	2332836.825
461	2332685.435
462	2332458.632
463	2332120.231
464	2331818.29
465	2331522.363
466	2331159.248
467	2331060.215
468	2330864.962
469	2330766.135
470	2330511.558
471	2330030.679
472	2329736.249
473	2329507.08
474	2329291.538
475	2328973.652
476	2328765.211
477	2328479.784
478	2328349.753
479	2328005.557
480	2327720.843
481	2327454.147
482	2327274.053
483	2327102.213
484	2326923.667
485	2326676.929
486	2326543.116
487	2326246.108
488	2326151.441
489	2325901.47
490	2325586.37
491	2325285.48
492	2325034.617
493	2324800.129
494	2324603.128
495	2324379.271
496	2324088.051
497	2323869.376
498	2323699.309
499	2323482.109
500	2323342.312
501	2323042.489
502	2322829.091
503	2322600.96
504	2322310.385
505	2322170.771
506	2321927.648
507	2321662.239
508	2321390.863
509	2321213.988
510	2321051.062
511	2320881.654
512	2320687.816
513	2320338.133
514	2320105.243
515	2319786.696
516	2319595.236
517	2319388.914
518	2319290.266
519	2319102.993
520	2318939.34
521	2318651.453
522	2318460.465
523	2318185.761
524	2318065.392
525	2317849.868
526	2317583.353
527	2317345.976
528	2317217.009
529	2316997.452
530	2316795.767
531	2316611.514
532	2316360.414
533	2316021.836
534	2315749.321
535	2315568.094
536	2315416.828
537	2314993.793
538	2314723.032
539	2314535.505
540	2314309.21
541	2314002.377
542	2313756.53
543	2313558.188
544	2313362.776
545	2313062.878
546	2312937.818
547	2312683.75
548	2312451.016
549	2312169.346
550	2312069.094
551	2311831.963
552	2311618.791
553	2311575.222
554	2311156.478
555	2310912.485
556	2310715.453
557	2310454.761
558	2310358.056
559	2310179.262
560	2309787.224
561	2309599.684
562	2309392.873
563	2309245.114
564	2309012.104
565	2308730.165
566	2308437.187
567	2308282.065
568	2308030.792
569	2307854.984
570	2307790.188
571	2307498.933
572	2307282.864
573	2307019.696
574	2306888.704
575	2306694.165
576	2306431.372
577	2306154.134
578	2305979.295
579	2305751.919
580	2305355.84
581	2305145.38
582	2304953.078
583	2304850.668
584	2304626.912
585	2304395.967
586	2303978.108
587	2303711.783
588	2303565.279
589	2303377.262
590	2302959.341
591	2302683.807
592	2302395.757
593	2302320.731
594	2302076.792
595	2301964.387
596	2301765.999
597	2301505.75
598	2301297.958
599	2301055.341
600	2300869.706
601	2300528.301
602	2300422.343
603	2300227.54
604	2299982.759
605	2299770.612
606	2299540.596
607	2299290.535
608	2299227.515
609	2299097.405
610	2298828.644
611	2298602.603
612	2298490.959
613	2298211.385
614	2297911.634
615	2297721.683
616	2297592.423
617	2297479.746
618	2297275.01
619	2297140.643
620	2297037.527
621	2296829.335
622	2296675.844
623	2296478.95
624	2296205.558
625	2295979.655
626	2295826.174
627	2295564.18
628	2295296.896
629	2295053.358
630	2294796.859
631	2294525.038
632	2294377.173
633	2294281.513
634	2294177.529
635	2293906.173
636	2293742.12
637	2293597.275
638	2293533.249
639	2293359.935
640	2293176.641
641	2292994.994
642	2292921.098
643	2292579.959
644	2292415.382
645	2292197.306
646	2291980.183
647	2291682.457
648	2291459.057
649	2291294.162
650	2290964.325
651	2290782.244
652	2290599.188
653	2290152.392
654	2290022.757
655	2289811.001
656	2289646.592
657	2289324.021
658	2289125.618
659	2288991.324
660	2288868.848
661	2288730.768
662	2288573.724
663	2288317.734
664	2288078.616
665	2287847.164
666	2287615.495
667	2287379.914
668	2287200.75
669	2286977.925
670	2286660.253
671	2286441.302
672	2286256.771
673	2286065.827
674	2285901.917
675	2285686.913
676	2285426.555
677	2285197.042
678	2285078.44
679	2284857.429
680	2284540.195
681	2284384.98
682	2284255.515
683	2284096.82
684	2283799.585
685	2283718.573
686	2283535.399
687	2283430.215
688	2283279.551
689	2283117.869
690	2282974.791
691	2282868.368
692	2282707.391
693	2282540.094
694	2282353.299
695	2282166.142
696	2281918.99
697	2281745.086
698	2281470.721
699	2281205.772
700	2280931.288
701	2280834.117
702	2280661.672
703	2280574.191
704	2280435.277
705	2280315.312
706	2280149.63
707	2279907.378
708	2279699.082
709	2279356.819
710	2279201.845
711	2279016.266
712	2278854.295
713	2278679.565
714	2278513.294
715	2278261.349
716	2278021.507
717	2277826.828
718	2277648.552
719	2277265.405
720	2277075.651
721	2276853.623
722	2276555.738
723	2276373.443
724	2276162.194
725	2276018.164
726	2275927.936
727	2275780.518
728	2275639.704
729	2275479.862
730	2275267.144
731	2274984.606
732	2274792.566
733	2274572.509
734	2274449.599
735	2274302.371
736	2274115.837
737	2273928.91
738	2273762.978
739	2273581.156
740	2273421.059
741	2273253.176
742	2273044.533
743	2272885.738
744	2272756.26
745	2272630.285
746	2272458.911
747	2272246.441
748	2272069.809
749	2271871.53
750	2271761.22
751	2271621.258
752	2271420.449
753	2271252.175
754	2271108.47
755	2270883.291
756	2270728.446
757	2270505.526
758	2270328.982
759	2270213.33
760	2270102.494
761	2269935.595
762	2269695.792
763	2269482.441
764	2269300.591
765	2268978.129
766	2268771.092
767	2268671.584
768	2268529.21
769	2268314.451
770	2268024.538
771	2267837.211
772	2267633.577
773	2267476.562
774	2267210.803
775	2266952.123
776	2266692.81
777	2266589.674
778	2266319.063
779	2266128.855
780	2265863.385
781	2265676.129
782	2265586.859
783	2265414.79
784	2265099.284
785	2264924.905
786	2264735.573
787	2264571.981
788	2264318.411
789	2264096.358
790	2263975.129
791	2263790.54
792	2263658.304
793	2263404.372
794	2263198.263
795	2263092.902
796	2262835.582
797	2262642.493
798	2262422.658
799	2262180.49
800	2261976.208
801	2261785.065
802	2261686.554
803	2261483.418
804	2261226.58
805	2260997.303
806	2260777.302
807	2260570.15
808	2260312.606
809	2260110.931
810	2259949.8
811	2259701.563
812	2259508.675
813	2259332.87
814	2259235.081
815	2258902.284
816	2258670.348
817	2258418.233
818	2258326.99
819	2258126.592
820	2257840.531
821	2257711.274
822	2257547.198
823	2257277.731
824	2257104.704
825	2256869.973
826	2256799.182
827	2256568.786
828	2256416.192
829	2256185.23
830	2256056.357
831	2255899.837
832	2255783.318
833	2255597.286
834	2255435.725
835	2255283.898
836	2255027.966
837	2254832.255
838	2254660.813
839	2254328.471
840	2254119.553
841	2253869.014
842	2253702.873
843	2253467.64
844	2253247.858
845	2252961.114
846	2252737.557
847	2252654.346
848	2252415.37
849	2252264.462
850	2252171.06
851	2252129.897
852	2251973.671
853	2251838.353
854	2251730.033
855	2251551.745
856	2251372.357
857	2251180.982
858	2250818.788
859	2250656.14
860	2250571.034
861	2250407.91
862	2250205.668
863	2250072.189
864	2249925.272
865	2249692.822
866	2249504.08
867	2249340.313
868	2249129.877
869	2249016.99
870	2248844.787
871	2248686.616
872	2248571.726
873	2248307.865
874	2248128.759
875	2248052.725
876	2247938.416
877	2247720.123
878	2247552.282
879	2247405.935
880	2247201.918
881	2247034.998
882	2246786.597
883	2246643.589
884	2246440.574
885	2246278.355
886	2246046.199
887	2245904.381
888	2245627.793
889	2245339.847
890	2245200.82
891	2244960.379
892	2244807.044
893	2244675.364
894	2244503.518
895	2244443.565
896	2244224.689
897	2244001.464
898	2243682.339
899	2243498.782
900	2243370.234
901	2243194.84
902	2243018.759
903	2242922.34
904	2242807.036
905	2242584.715
906	2242390.888
907	2242224.889
908	2242050.634
909	2241866.887
910	2241667.873
911	2241576.165
912	2241325.193
913	2241162.072
914	2241024.62
915	2240925.47
916	2240833.739
917	2240731.327
918	2240577.497
919	2240420.935
920	2240309.224
921	2240174.718
922	2239815.995
923	2239630.359
924	2239315.423
925	2239183.767
926	2239004.759
927	2238873.325
928	2238664.421
929	2238554.314
930	2238299.787
931	2238258.519
932	2238168.057
933	2238069.518
934	2237941.837
935	2237772.549
936	2237597.23
937	2237534.258
938	2237363.124
939	2237220.003
940	2237152.675
941	2236899.452
942	2236715.73
943	2236548.454
944	2236353.702
945	2236194.2
946	2236010.689
947	2235804.424
948	2235627.362
949	2235319.441
950	2235167.613
951	2234947.355
952	2234815.477
953	2234650.093
954	2234452.049
955	2234271.222
956	2234116.275
957	2234020.716
958	2233854.982
959	2233710.668
960	2233595.539
961	2233395.752
962	2233288.908
963	2233209.337
964	2232881.655
965	2232723.264
966	2232639.588
967	2232358.196
968	2232177.664
969	2231978.832
970	2231712.341
971	2231531.68
972	2231432.809
973	2231293.953
974	2231115.033
975	2230935.065
976	2230608.925
977	2230450.638
978	2230259.523
979	2230170.375
980	2230009.041
981	2229835.628
982	2229756.279
983	2229591.742
984	2229514.781
985	2229332.415
986	2229024.53
987	2228905.632
988	2228787.757
989	2228595.509
990	2228400.944
991	2228173.103
992	2227990.34
993	2227786.93
994	2227593.484
995	2227499.706
996	2227283.853
997	2227119.734
998	2226899.763
999	2226729.794
