iter	Passed	Remaining
402	10792	15987
403	10802	15936
404	10811	15883
405	10821	15832
406	10834	15785
407	10845	15736
408	10855	15686
409	10866	15637
410	10877	15588
411	10887	15538
412	10898	15489
413	10908	15440
414	10918	15390
415	10928	15342
416	10938	15293
417	10949	15245
418	10960	15198
419	10971	15150
420	10982	15104
421	10994	15058
422	11005	15011
423	11016	14965
424	11028	14920
425	11038	14873
426	11049	14827
427	11059	14781
428	11069	14734
429	11081	14688
430	11093	14645
431	11102	14597
432	11113	14552
433	11124	14507
434	11141	14471
435	11153	14428
436	11163	14382
437	11175	14339
438	11185	14294
439	11196	14249
440	11206	14205
441	11216	14159
442	11226	14116
443	11239	14074
444	11249	14030
445	11258	13985
446	11269	13941
447	11277	13895
448	11289	13853
449	11299	13810
450	11308	13765
451	11318	13722
452	11329	13680
453	11341	13639
454	11352	13598
455	11363	13556
456	11374	13514
457	11385	13473
458	11396	13432
459	11408	13392
460	11419	13351
461	11429	13310
462	11440	13269
463	11453	13230
464	11465	13191
465	11476	13151
466	11486	13110
467	11496	13068
468	11507	13028
469	11517	12987
470	11527	12947
471	11539	12908
472	11550	12869
473	11561	12829
474	11571	12789
475	11582	12750
476	11593	12711
477	11603	12671
478	11613	12631
479	11625	12594
480	11637	12556
481	11648	12518
482	11661	12482
483	11683	12456
484	11694	12418
485	11705	12380
486	11715	12340
487	11739	12316
488	11767	12296
489	11792	12273
490	11828	12262
491	11857	12242
492	11886	12223
493	11912	12201
494	11944	12185
495	11954	12147
496	11965	12110
497	11976	12072
498	11986	12034
499	11996	11996
500	12006	11958
501	12018	11922
502	12029	11885
503	12039	11848
504	12051	11813
505	12061	11775
506	12072	11738
507	12082	11702
508	12093	11665
509	12103	11628
510	12113	11592
511	12124	11555
512	12136	11521
513	12155	11493
514	12165	11457
515	12177	11421
516	12187	11385
517	12196	11349
518	12205	11312
519	12216	11276
520	12227	11241
521	12237	11205
522	12247	11170
523	12258	11135
524	12267	11099
525	12278	11064
526	12290	11030
527	12300	10995
528	12309	10960
529	12321	10926
530	12331	10891
531	12343	10858
532	12354	10824
533	12367	10792
534	12378	10759
535	12388	10724
536	12397	10689
537	12409	10656
538	12420	10622
539	12431	10589
540	12441	10556
